Lipids,OW40_1,OW40_2,OW40_3,OW40_5,OW40_6,OW40_7,OW450_2,OW450_3,OW450_7,OW450_1,OW450_5,OW450_6
"GPCho(18:2(6Z,9Z)/15:0)",8.04440080435225e-5,7.85524978694741e-5,7.35787413921335e-5,7.48700682785038e-5,7.00836550932478e-5,7.2656820310214e-5,9.71846686770474e-5,5.56978721694413e-5,5.73122111341527e-5,9.91781304560504e-5,6.63020731827807e-5,9.57614685683399e-5
"GPCho(18:2(9E,10E)/14:0)",2.8224131026574e-6,3.65097971901913e-6,2.29346942851425e-6,1.49682595179752e-6,1.79242164007346e-6,3.49358643840576e-6,1.48509991546245e-5,5.76636770220527e-6,5.43275225582771e-6,1.18481827012887e-5,6.83717712089627e-6,1.21537053704185e-5
"GPCho(18:2(9E,10E)/18:2(9E,12E))",1.34429377537361e-4,1.69097585362637e-4,1.17238316540935e-4,1.20705765334053e-4,1.34272285023479e-4,1.43874379970695e-4,1.07917413498915e-4,6.50522600806894e-5,5.93277805865521e-5,1.0517393842311e-4,6.99786623254212e-5,9.13808949606647e-5
"GPCho(18:2(9E,12E)/14:0)",3.86003563811787e-5,4.56469419632261e-5,3.6891363556293e-5,4.61356633058102e-5,3.65948328350359e-5,4.11583177542639e-5,3.11926667445332e-5,1.26300566515755e-5,1.12635652315904e-5,3.09644144312226e-5,2.13767486521198e-5,2.81305675465979e-5
"GPCho(18:2(9E,12E)/18:1(11E))",0.00154493445713667,0.00139764722913872,0.00138261791354712,0.00107913758752611,0.00117968028461107,0.00131745955401282,0.00234940550113284,0.00171123728337299,0.00162557797688172,0.002332619365661,0.00167558599407604,0.00166028750995116
"GPCho(18:2(9E,12E)/20:3(8Z,11Z,14Z))",0.00115789466946527,0.00147882104220172,0.00137807734139507,0.00142253296018485,0.00153929989806816,0.00145582802568271,0.00101309393882239,7.04668708249547e-4,9.00548271587669e-4,0.00101165678532147,7.90974950546609e-4,9.33977835346946e-4
"GPCho(18:2(9Z,11Z)/17:1(9Z))",3.2692038413039e-5,3.39450089710404e-5,3.4803043515758e-5,3.65863161473531e-5,3.38523865880959e-5,3.47513740010538e-5,7.52706559012154e-5,5.52434145933992e-5,5.88457766588718e-5,8.1824454760494e-5,5.77467778321976e-5,8.35408091029239e-5
"GPCho(18:2(9Z,11Z)/20:5(5Z,8Z,11Z,14Z,17Z))",7.08678037467843e-4,7.46768587359306e-4,6.73336440048003e-4,6.27789661353742e-4,6.04973325308547e-4,7.69858158626456e-4,7.90794688690881e-4,4.02339531060823e-4,4.87526142226002e-4,6.91900011728389e-4,5.17326446177873e-4,6.71898457505722e-4
"GPCho(18:2(9Z,12Z)/16:0)",5.78526071728355e-4,6.14043890522953e-4,5.43165509823412e-4,5.15214203618664e-4,5.06362238361343e-4,6.01438532545447e-4,0.00113061319488344,8.32181092163643e-4,9.11825821901167e-4,0.00111490331411447,8.43904780130161e-4,0.00103537708374095
"GPCho(18:3(6Z,9Z,12Z)/17:1(9Z))",4.12129271950815e-6,6.52513781719325e-6,3.80056270347811e-6,6.01930081601138e-6,4.27515260180698e-6,4.138015796848e-6,2.57786162710211e-6,1.14339354863096e-6,0,2.94278197741811e-6,1.77709493713638e-6,2.94564506946009e-6
